Link,001,Campo,$a,SC2
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20867,=001  20867,100,"b'Carreras, Alberto de las'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20867,=001  20867,700,"b'\xc3\x81lvarez de Toledo, Belisario'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20867,=001  20867,700,"b'Darquier, Juan'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20867,=001  20867,700,"b'Labarthe, Julio'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20867,=001  20867,700,"b'Nogu\xc3\xa9s, Pablo'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20868,=001  20868,100,"b'Carvalho, Antonio J.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20869,=001  20869,100,"b'Castro Madero, Jorge'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20869,=001  20869,700,"b'Castro, Vicente'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20869,=001  20869,700,"b'Darquier, Juan'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20869,=001  20869,700,"b'Mercau, Agust\xc3\xadn'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20869,=001  20869,700,"b'Nogu\xc3\xa9s, Pablo'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20869,=001  20869,700,"b'Rospide, Juan'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20870,=001  20870,100,"b'Ceppi, H\xc3\xa9ctor'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20870,=001  20870,650,b'FERROCARRILES INDUSTRIALES'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20870,=001  20870,650,b'TRANSPORTE DEL CARBON'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20871,=001  20871,100,"b'Cettour, Hern\xc3\xa1n'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20872,=001  20872,100,"b'Cevey, Alberto'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20873,=001  20873,100,"b'Chavance, Sim\xc3\xb3n'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20874,=001  20874,100,"b'Chinetti, Esteban C.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20874,=001  20874,650,b'TALLERES'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20875,=001  20875,100,"b'Ciufici, Aldo A.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20876,=001  20876,100,"b'Coni, Pedro J.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20876,=001  20876,700,"b'Brian, Santiago'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20877,=001  20877,100,"b'Contin, Jos\xc3\xa9 M. D.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20877,=001  20877,650,b'ESTACIONAMIENTOS Y TERMINALES FERROVIARIOS'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20877,=001  20877,650,b'ESTACIONES DE PASAJEROS'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20877,=001  20877,650,b'FERROCARRILES INDUSTRIALES'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20878,=001  20878,100,"b'Cores, Julio'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20879,=001  20879,100,"b'Correa, Manuel J.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20879,=001  20879,650,b'SUPERFICIE'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20879,=001  20879,700,"b'Huergo, Luis A.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20880,=001  20880,100,"b'Covani, Horacio R.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20881,=001  20881,100,"b'Cremona, Andr\xc3\xa9s V.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20881,=001  20881,700,"b'Silveyra, Luis'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20882,=001  20882,100,"b'Dasso, Ricardo'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20883,=001  20883,100,"b'Dellepiane, Lu\xc3\xads J.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20883,=001  20883,700,"b'Bah\xc3\xada, Manuel B.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20883,=001  20883,700,"b'Belgrano, Joaqu\xc3\xadn M.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20883,=001  20883,700,"b'Candiani, Emilio'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20883,=001  20883,700,"b'Duclout, Jorge'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20883,=001  20883,700,"b'Schneidewind, Alberto'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20884,=001  20884,650,b'MOTORES DE VAPOR'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20884,=001  20884,700,"b'Mercau, Agust\xc3\xadn'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20885,=001  20885,100,"b'Dyer, Adolfo M.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20886,=001  20886,100,"b'Edo, Eduardo L.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20887,=001  20887,100,"b'Eppens, Gustavo A.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20888,=001  20888,100,"b'Escribano, Carlos'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20888,=001  20888,700,"b'Dellepiane, Luis J.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20888,=001  20888,700,b'Kok J.'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20888,=001  20888,700,"b'Orfila, Alfredo J.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20888,=001  20888,700,"b'San Roman, Yberio'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20888,=001  20888,700,"b'Sarhy, Jos\xc3\xa9 S.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20889,=001  20889,100,"b'Eslava, Hilari\xc3\xb3n'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20889,=001  20889,700,"b'Coni, Pedro Luis'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20890,=001  20890,100,"b'Espin\xc3\xb3s, Vicente'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20890,=001  20890,650,b'PUENTES DE ALBA\xc3\x91ILERIA'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20891,=001  20891,100,"b'Espinosa, Agust\xc3\xadn'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20891,=001  20891,650,b'ALCANTARILLADO COMBINADO'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20892,=001  20892,100,"b'Fern\xc3\xa1ndez D\xc3\xadaz, Augusto'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20892,=001  20892,700,"b'Castro, Vicente'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20892,=001  20892,700,"b'Mercau, Agust\xc3\xadn'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20892,=001  20892,700,"b'Romero, Juli\xc3\xa1n'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20892,=001  20892,700,"b'Segovia, Fernando'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20893,=001  20893,100,"b'Ferro, Bartolom\xc3\xa9'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20894,=001  20894,100,"b'Fiandri, Lorenzo'"
